dt,equity
2024-01-01,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-06,100000.0
2024-01-07,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-13,100000.0
2024-01-14,100000.0
2024-01-15,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-20,100000.0
2024-01-21,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-27,100000.0
2024-01-28,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,99990.05509031066
2024-02-01,99879.33253369652
2024-02-02,100024.98917384105
2024-02-03,99796.9180338778
2024-02-04,99773.75331362846
2024-02-05,99781.35235843579
2024-02-06,99880.32420324732
2024-02-07,100068.7709070985
2024-02-08,100164.88905856486
2024-02-09,100126.39477667183
2024-02-10,100208.34799135882
2024-02-11,100097.60528233045
2024-02-12,100223.03056572047
2024-02-13,100194.67189602606
2024-02-14,100131.21747556976
2024-02-15,100095.10655050403
2024-02-16,100028.58947761478
2024-02-17,100048.2124119107
2024-02-18,100266.82655786812
2024-02-19,100238.76526209456
2024-02-20,100233.26734925328
2024-02-21,100223.48441685003
2024-02-22,100223.71364653375
2024-02-23,100209.80136052611
2024-02-24,100166.67100594804
2024-02-25,100120.9436349567
2024-02-26,100026.08043187499
2024-02-27,99917.2254106648
2024-02-28,99905.6733914091
2024-02-29,99965.76559771666
2024-03-01,99893.06870382011
2024-03-02,100083.57814866264
2024-03-03,99973.87491030512
2024-03-04,100106.96275757163
2024-03-05,100008.9512242671
2024-03-06,100078.58975813867
2024-03-07,100076.86856088374
2024-03-08,100118.29206386447
2024-03-09,100091.22661982477
2024-03-10,100229.33302462063
2024-03-11,100216.85750353198
2024-03-12,100221.27268167437
2024-03-13,100243.21048806587
2024-03-14,100182.97100921572
2024-03-15,99926.18995896421
2024-03-16,99797.84787142625
2024-03-17,99741.3607630581
2024-03-18,99911.1125074238
2024-03-19,100131.75842328914
2024-03-20,99994.89290812373
2024-03-21,99969.15974454547
2024-03-22,99983.27370898132
2024-03-23,100185.34893040822
2024-03-24,100024.05789622804
2024-03-25,100003.9218611541
2024-03-26,99984.37023328466
2024-03-27,99873.91012743766
2024-03-28,99845.23198351545
2024-03-29,99918.093996808
2024-03-30,99900.94613031736
2024-03-31,100002.4041914111
2024-04-01,100038.9117938382
2024-04-02,100077.24146259924
2024-04-03,100084.37078159415
2024-04-04,100215.16902620072
2024-04-05,100089.28518001533
2024-04-06,100030.38722245103
2024-04-07,99928.42844766715
2024-04-08,100049.58381375254
2024-04-09,100129.38202210769
2024-04-10,100058.9022954525
2024-04-11,100246.90099025208
2024-04-12,100273.74535436196
2024-04-13,100297.80693221133
2024-04-14,100202.60095317871
2024-04-15,100262.82491584797
2024-04-16,100260.33573900325
2024-04-17,100582.29451156175
2024-04-18,100602.20044085389
2024-04-19,100937.7072363789
2024-04-20,101190.59600110627
2024-04-21,100984.68824635207
2024-04-22,100884.05956995311
2024-04-23,100531.91764231052
2024-04-24,100588.6352026157
2024-04-25,100609.66729762043
2024-04-26,100481.96780952708
2024-04-27,100668.20042698167
2024-04-28,100796.98650095006
2024-04-29,100873.6360042176
2024-04-30,100876.32110360137
2024-05-01,100827.82234753389
2024-05-02,100766.49374769998
2024-05-03,100873.52350836311
2024-05-04,100750.57675898376
2024-05-05,100954.0129347826
2024-05-06,100807.69802268554
2024-05-07,100811.79442385491
2024-05-08,101151.15501655813
2024-05-09,101087.77700497692
2024-05-10,101079.73259089157
2024-05-11,101417.11384482827
2024-05-12,101439.81308820209
2024-05-13,101750.71594390387
2024-05-14,101761.30915829455
2024-05-15,101827.94134172364
2024-05-16,101931.19646400592
2024-05-17,102203.59378181996
2024-05-18,102400.46224666464
2024-05-19,102471.16462232798
2024-05-20,102393.48858813797
2024-05-21,102519.55176371489
2024-05-22,102602.61262015012
2024-05-23,102569.20333825954
2024-05-24,102635.17264137758
2024-05-25,102883.72541189569
2024-05-26,102923.72022276657
2024-05-27,102988.47781690126
2024-05-28,103053.93221611972
2024-05-29,103103.69546789158
2024-05-30,102931.8323533933
2024-05-31,102928.10166164933
2024-06-01,102578.02668629747
2024-06-02,102441.39198581007
2024-06-03,102384.12992025354
2024-06-04,102301.90729176532
2024-06-05,102275.7631873303
2024-06-06,102402.80534016613
2024-06-07,102487.80601661635
2024-06-08,102481.60438116429
2024-06-09,102130.75834697517
2024-06-10,102025.18902760345
2024-06-11,101874.93502288224
2024-06-12,101804.0779635375
2024-06-13,101948.21831320686
2024-06-14,102219.1304456458
2024-06-15,102219.1304456458
2024-06-16,102219.1304456458
2024-06-17,102219.1304456458
2024-06-18,102219.1304456458
2024-06-19,102219.1304456458
2024-06-20,102219.1304456458
2024-06-21,102219.1304456458
2024-06-22,102219.1304456458
2024-06-23,102209.1550685476
2024-06-24,102073.62909689416
2024-06-25,102145.81724758813
2024-06-26,102064.33660843501
2024-06-27,102160.99215744802
2024-06-28,102127.35530693388
2024-06-29,102117.39352709115
2024-06-30,102079.72513020001
