symbol,entry_dt,exit_dt,entry_price,exit_price,qty,pnl,bars_held
SPY,2023-01-05,2023-02-13,366.1282747192383,397.61373751831053,27,850.1074955749508,26
QQQ,2023-01-09,2023-02-13,266.357063873291,299.1930001831055,37,1214.929643463136,24
QQQ,2023-03-17,2023-04-13,300.63868673706054,314.0928193359375,34,457.44050836181736,18
SPY,2023-03-22,2023-04-26,379.85778030395505,390.9422845458984,26,288.19711029052746,24
SPY,2023-05-19,2023-05-25,405.5394421691894,400.89088311767574,25,-116.21397628784109,4
QQQ,2023-05-11,2023-06-23,321.6536993103027,357.26228366088867,32,1139.4746992187502,29
SPY,2023-05-30,2023-06-27,407.050656463623,423.26326373291016,25,405.31518173217904,19
SPY,2023-07-05,2023-07-07,430.8782016601562,425.57281100463865,24,-127.32937573242134,2
QQQ,2023-07-17,2023-07-24,377.7949895935058,370.7530213623047,28,-197.1751104736311,5
SPY,2023-07-14,2023-07-28,436.8581746826171,443.39920504760744,24,156.98472875976768,10
SPY,2023-08-30,2023-09-19,438.5403666687011,431.125083984375,24,-177.96678442382608,13
QQQ,2023-08-30,2023-09-19,372.117320526123,365.0132224731445,28,-198.9147454833992,13
SPY,2023-10-10,2023-10-23,424.0160607299804,409.4573203125,24,-349.4097700195298,9
QQQ,2023-10-09,2023-10-23,362.4709345092773,350.9996926574707,29,-332.6660137023917,10
QQQ,2023-11-03,2023-12-05,363.6080873718261,382.2044490966797,29,539.2944900207538,21
SPY,2023-11-03,2023-12-07,424.1624166564941,446.2389832763672,24,529.8375988769549,23
SPY,2023-12-13,2024-01-02,459.10516140747063,462.14777169799805,23,69.98003668213067,12
QQQ,2023-12-13,2024-01-03,399.2361786499023,394.0918722839356,26,-133.75196551513454,13
QQQ,2024-01-22,2024-02-02,418.0782440795898,424.4454299926757,25,159.17964782714762,9
QQQ,2024-02-05,2024-02-07,424.74002005004877,427.3936811828613,24,63.68786718750107,2
QQQ,2024-02-08,2024-02-14,429.0424443969726,428.6106636657715,24,-10.362737548826772,4
SPY,2024-01-23,2024-02-20,475.03559619140617,485.7220741882324,22,235.102515930177,19
SPY,2024-02-26,2024-03-01,495.73742968749997,501.45458642578126,21,120.06029150390708,4
SPY,2024-03-04,2024-03-06,501.9196005554199,498.4234104309082,21,-73.41999261474598,2
QQQ,2024-03-04,2024-03-06,440.17520910644527,434.12138278198245,24,-145.29183178710764,2
SPY,2024-03-22,2024-03-27,512.2356619262696,513.1346061401367,20,17.978884277342786,3
QQQ,2024-03-25,2024-03-27,441.49183203124994,440.67902755737305,23,-18.694502899168583,2
SPY,2024-03-28,2024-03-28,514.0637210693359,513.5501708984375,20,-10.271003417967677,1
