dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,99895.89971750643
2024-02-02,100944.61160868075
2024-02-05,100729.3332044449
2024-02-06,100685.7887060013
2024-02-07,101678.90901010897
2024-02-08,101721.37974375155
2024-02-09,102538.44754618075
2024-02-12,102343.21285456087
2024-02-13,100807.7956754532
2024-02-14,101818.27917688753
2024-02-15,102394.09166774752
2024-02-16,101445.03051052096
2024-02-20,100501.64466152193
2024-02-21,100145.83092556002
2024-02-22,102418.23786220553
2024-02-23,102197.92970647433
2024-02-26,101936.04814519503
2024-02-27,101884.33243169406
2024-02-28,101770.54039373019
2024-02-29,101769.79361333468
2024-03-01,102370.56937769322
2024-03-04,102227.58117273716
2024-03-05,100628.89123133091
2024-03-06,101306.19057825474
2024-03-07,102560.08054712681
2024-03-08,101528.23488703923
2024-03-11,101607.41822138982
2024-03-12,101918.15165797429
2024-03-13,102572.75163356023
2024-03-14,102124.6608437653
2024-03-15,101992.45474160771
2024-03-18,102508.0775290833
2024-03-19,103212.1993247376
2024-03-20,104009.54611123662
2024-03-21,104488.34144509892
2024-03-22,104034.46934486394
2024-03-25,104169.2456281281
2024-03-26,103952.56648231512
2024-03-27,105289.77820564275
2024-03-28,105804.39745307928
