dt,equity
2024-09-30,100687.05785485168
2024-10-01,99935.94897062631
2024-10-02,99517.09220468937
2024-10-03,99335.9137236312
2024-10-04,100074.75648616083
2024-10-07,99437.42902488685
2024-10-08,100405.00995885453
2024-10-09,100583.92125501425
2024-10-10,100406.46856371698
2024-10-11,101366.02928193308
2024-10-14,101924.07658182087
2024-10-15,100742.33350722068
2024-10-16,101648.87561227147
2024-10-17,101472.59671015867
2024-10-18,101803.23305686044
2024-10-21,101573.09645695884
2024-10-22,101459.99820807441
2024-10-23,100527.28542707165
2024-10-24,100627.25266857835
2024-10-25,100294.23870822978
2024-10-28,100511.87890536821
2024-10-29,100551.48618283177
2024-10-30,100871.43634720004
2024-10-31,98481.33269101077
2024-11-01,99203.01522515812
2024-11-04,98742.75089558256
2024-11-05,99531.93406726462
2024-11-06,102784.02460586335
2024-11-07,103660.42110521934
2024-11-08,104522.97493906702
2024-11-11,106402.89500095234
2024-11-12,106082.82475759776
2024-11-13,105923.02834417655
2024-11-14,104443.66323147254
2024-11-15,103423.50690045423
2024-11-18,104780.68824276439
2024-11-19,105375.14566066282
2024-11-20,105192.3782561953
2024-11-21,106008.0742978638
2024-11-22,107337.4137175448
2024-11-25,107774.90696785484
2024-11-26,108444.12099122535
2024-11-27,108377.5723679232
2024-11-29,109332.66670554523
2024-12-02,109282.57346899684
2024-12-03,108895.83613039127
2024-12-04,108299.86268148468
2024-12-05,108337.73118763843
2024-12-06,108818.92306514738
2024-12-09,108280.28411788329
2024-12-10,108475.28006701947
2024-12-11,110618.64411046694
2024-12-12,110261.77796889165
2024-12-13,110097.69262818752
2024-12-16,111688.64248044373
2024-12-17,112629.36360289644
2024-12-18,108737.01556013797
2024-12-19,108643.80174172453
2024-12-20,108967.95158524055
2024-12-23,109579.99479891112
2024-12-24,110822.77480782827
