dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,103392.81504058838
2024-02-05,102931.56064605713
2024-02-06,102635.68605804443
2024-02-07,103745.32347869873
2024-02-08,103278.17035675049
2024-02-09,104081.37560272217
2024-02-12,103790.8035812378
2024-02-13,102757.21363067627
2024-02-14,104284.91649627686
2024-02-15,104991.35994720459
2024-02-16,104367.83712005615
2024-02-20,103132.24768829346
2024-02-21,103242.27672576904
2024-02-22,107176.21970367432
2024-02-23,107250.9239730835
2024-02-26,107027.6501083374
2024-02-27,107279.15909576416
2024-02-28,107344.53353118896
2024-02-29,107911.55225372314
2024-03-01,109156.4598312378
2024-03-04,108341.95909881592
2024-03-05,107002.90842437744
2024-03-06,107565.98400115967
2024-03-07,109048.02906036377
2024-03-08,107640.98928070068
2024-03-11,106711.7169418335
2024-03-12,108882.16063690186
2024-03-13,108940.9627456665
2024-03-14,108075.32256317139
2024-03-15,107348.72890472412
2024-03-18,108191.43936157227
2024-03-19,108845.38599777222
2024-03-20,110131.51428604126
2024-03-21,111041.00769424438
2024-03-22,111122.68489837646
2024-03-25,110324.54113006592
2024-03-26,109807.99843597412
2024-03-27,109696.31143951416
2024-03-28,109503.30303192139
2024-04-01,109439.99179840088
2024-04-02,109030.57327079773
2024-04-03,108730.50235176086
2024-04-04,106924.71345901489
2024-04-05,107962.7834148407
2024-04-08,107917.83301734924
2024-04-09,107678.32262611389
2024-04-10,106931.60655021667
2024-04-11,107446.57993888855
2024-04-12,105488.92376899719
2024-04-15,104398.41248893738
2024-04-16,103762.98275947571
2024-04-17,103037.92449760437
2024-04-18,102803.57330131531
2024-04-19,100102.33442115784
2024-04-22,100342.83891868591
2024-04-23,101178.67955970764
2024-04-24,101254.28189277649
2024-04-25,100724.65065193176
2024-04-26,102133.00266838074
2024-04-29,102031.08410835266
2024-04-30,100672.36286354065
2024-05-01,100524.74961280823
2024-05-02,101821.16602516174
2024-05-03,103059.65291786194
2024-05-06,103982.0967502594
2024-05-07,103856.89258003235
2024-05-08,103693.22388076782
2024-05-09,104020.91957855225
2024-05-10,103883.65386009216
2024-05-13,104377.5569934845
2024-05-14,104769.66499900818
2024-05-15,105937.44842720032
2024-05-16,106381.34718322754
2024-05-17,106444.4573173523
2024-05-20,105850.82592201233
2024-05-21,107444.26526069641
2024-05-22,106958.25410842896
2024-05-23,106192.88380241394
2024-05-24,107692.10655784607
2024-05-28,108098.713306427
2024-05-29,107317.4498500824
2024-05-30,106530.73454856873
2024-05-31,107384.23017883301
2024-06-03,108268.19972991943
2024-06-04,108406.25374794006
2024-06-05,109972.82295036316
2024-06-06,109394.0085811615
2024-06-07,109382.824842453
2024-06-10,109120.80875205994
2024-06-11,109552.91030693054
2024-06-12,111062.09876060486
2024-06-13,111834.00074958801
2024-06-14,112127.70898246765
2024-06-17,113352.1843509674
2024-06-18,113643.99921607971
2024-06-20,112518.11165809631
2024-06-21,112245.47174263
2024-06-24,111283.79963493347
2024-06-25,112612.16258049011
2024-06-26,113655.74520683289
2024-06-27,113770.61840629578
2024-06-28,112841.77879142761
2024-07-01,114151.80129051208
2024-07-02,115670.78362464905
2024-07-03,117463.73141288757
2024-07-05,118884.03324699402
2024-07-08,118932.68941307068
2024-07-09,120135.73582267761
2024-07-10,121246.59257698059
2024-07-11,116898.36105537415
2024-07-12,117053.95178794861
2024-07-15,117918.26564216614
