dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,103351.63985443115
2024-02-05,102874.52574157715
2024-02-06,102778.82234954834
2024-02-07,104222.6953163147
2024-02-08,103683.1870727539
2024-02-09,104604.3505897522
2024-02-12,104632.70114898682
2024-02-13,103204.44885253906
2024-02-14,104940.25588989258
2024-02-15,106235.32223510742
2024-02-16,105665.03424072266
2024-02-20,104387.28991699219
2024-02-21,104511.65826034546
2024-02-22,108659.10907554626
2024-02-23,108656.16609764099
2024-02-26,108324.07884979248
2024-02-27,108397.64463043213
2024-02-28,108406.27061653137
2024-02-29,108745.28365135193
2024-03-01,109879.94367408752
2024-03-04,108742.14964103699
2024-03-05,107689.8238773346
2024-03-06,108278.06858253479
2024-03-07,109760.51423072815
2024-03-08,108449.36602210999
2024-03-11,107613.14049720764
2024-03-12,109928.65833473206
2024-03-13,109971.39957618713
2024-03-14,109403.88879585266
2024-03-15,108283.07799720764
2024-03-18,109166.21256446838
2024-03-19,109979.07899665833
2024-03-20,111420.655752182
2024-03-21,112260.81292915344
2024-03-22,112160.8102016449
2024-03-25,111290.02929496765
2024-03-26,110828.28849220276
2024-03-27,111449.29106330872
2024-03-28,111527.60951805115
2024-04-01,111271.47724723816
2024-04-02,110116.48620033264
2024-04-03,110227.20879173279
2024-04-04,107851.64636421204
2024-04-05,109999.20003700256
2024-04-08,110117.69115638733
2024-04-09,110124.9307384491
2024-04-10,109007.65362739563
2024-04-11,110238.57661628723
2024-04-12,108372.47619056702
2024-04-15,107064.34615135193
2024-04-16,106315.77643013
2024-04-17,105958.12906455994
2024-04-18,106041.23953437805
2024-04-19,104026.45501899719
2024-04-22,104428.2136554718
2024-04-23,105147.7287311554
2024-04-24,105184.58038520813
2024-04-25,105150.2370929718
2024-04-26,106218.97613716125
2024-04-29,106008.57522773743
2024-04-30,105500.72136116028
2024-05-01,105533.53008842468
2024-05-02,106198.4784374237
2024-05-03,107017.45888710022
2024-05-06,107585.6910572052
2024-05-07,107651.29220581055
2024-05-08,107771.25861167908
2024-05-09,108213.0011959076
2024-05-10,108070.63019561768
2024-05-13,108709.90638160706
2024-05-14,109418.62201881409
2024-05-15,111144.97432899475
2024-05-16,111230.79884910583
2024-05-17,111672.25028991699
2024-05-20,110915.1168384552
2024-05-21,112506.04731941223
2024-05-22,111972.99711608887
2024-05-23,109715.79370117188
2024-05-24,111123.73147010803
2024-05-28,111057.32625770569
2024-05-29,109947.6684474945
2024-05-30,109454.35229492188
2024-05-31,111154.4160785675
2024-06-03,112206.24627876282
2024-06-04,112272.6337890625
2024-06-05,114182.11496734619
2024-06-06,113690.44198799133
2024-06-07,113682.09448623657
2024-06-10,113132.88294410706
2024-06-11,114604.46250534058
2024-06-12,116128.27435112
2024-06-13,116716.0816898346
2024-06-14,117095.738489151
2024-06-17,118040.33738517761
2024-06-18,118530.50301933289
2024-06-20,117296.15376853943
2024-06-21,117063.81339454651
2024-06-24,115955.5236415863
2024-06-25,117281.39378929138
2024-06-26,118984.94404411316
2024-06-27,119160.85746192932
2024-06-28,117439.75540733337
2024-07-01,119135.07377052307
2024-07-02,122127.13969612122
2024-07-03,123938.95413780212
2024-07-05,125979.18500709534
2024-07-08,125608.84608268738
2024-07-09,126549.95686531067
2024-07-10,128101.97867202759
2024-07-11,124532.34891700745
2024-07-12,125397.29868888855
2024-07-15,126839.92104530334
