dt,equity
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,99980.34783599853
2023-01-06,100476.66140411377
2023-01-09,100526.12359426879
2023-01-10,100765.85085867309
2023-01-11,101242.62325857543
2023-01-12,101390.7596111145
2023-01-13,101572.47512625121
2023-01-17,101595.52050588989
2023-01-18,101162.06197927856
2023-01-19,100886.49145315551
2023-01-20,101630.41610525512
2023-01-23,102217.31564138793
2023-01-24,102162.60171316528
2023-01-25,102119.29488943481
2023-01-26,102647.66421316528
2023-01-27,102887.26577566528
2023-01-30,102312.90951345825
2023-01-31,102787.11916921996
2023-02-01,103364.29900930786
2023-02-02,104316.64620779418
2023-02-03,103792.66308401489
2023-02-06,103536.00506399536
2023-02-07,104139.52874563598
2023-02-08,103614.88937185668
2023-02-09,103323.78738211059
2023-02-10,103202.4616069641
2023-02-13,103648.01839794921
2023-02-14,103648.01839794921
2023-02-15,103648.01839794921
2023-02-16,103648.01839794921
2023-02-17,103648.01839794921
2023-02-21,103648.01839794921
2023-02-22,103648.01839794921
2023-02-23,103648.01839794921
2023-02-24,103648.01839794921
2023-02-27,103648.01839794921
2023-02-28,103648.01839794921
2023-03-01,103648.01839794921
2023-03-02,103648.01839794921
2023-03-03,103648.01839794921
2023-03-06,103648.01839794921
2023-03-07,103648.01839794921
2023-03-08,103648.01839794921
2023-03-09,103648.01839794921
2023-03-10,103648.01839794921
2023-03-13,103648.01839794921
2023-03-14,103648.01839794921
2023-03-15,103648.01839794921
2023-03-16,103648.01839794921
2023-03-17,103637.806894104
2023-03-20,103674.04602984618
2023-03-21,103820.40955523681
2023-03-22,103669.20260424804
2023-03-23,103817.45333666992
2023-03-24,103920.55392260742
2023-03-27,103867.8339519043
2023-03-28,103790.5108317871
2023-03-29,104122.75668139648
2023-03-30,104281.02554125976
2023-03-31,104600.0337199707
2023-04-03,104613.16714282226
2023-04-04,104519.62325854492
2023-04-05,104387.1977824707
2023-04-06,104498.54366870117
2023-04-10,104503.08224291992
2023-04-11,104437.52480883789
2023-04-12,104302.06142993164
2023-04-13,104633.06280737305
2023-04-14,104607.64758520508
2023-04-17,104644.88690405274
2023-04-18,104651.68207006836
2023-04-19,104649.91980200195
2023-04-20,104593.0535300293
2023-04-21,104601.10553198242
2023-04-24,104611.92511206055
2023-04-25,104447.11218481445
2023-04-26,104393.65601660157
2023-04-27,104393.65601660157
2023-04-28,104393.65601660157
2023-05-01,104393.65601660157
2023-05-02,104393.65601660157
2023-05-03,104393.65601660157
2023-05-04,104393.65601660157
2023-05-05,104393.65601660157
2023-05-08,104393.65601660157
2023-05-09,104393.65601660157
2023-05-10,104393.65601660157
2023-05-11,104383.37338085938
2023-05-12,104346.49056835938
2023-05-15,104401.96908398438
2023-05-16,104413.63412304688
2023-05-17,104538.46224804688
2023-05-18,104732.32650585938
2023-05-19,104698.24014035035
2023-05-22,104737.97521725464
2023-05-23,104489.34090939332
2023-05-24,104362.85381832886
2023-05-25,104693.34202175903
2023-05-26,104966.95823269653
2023-05-30,105006.59681988525
2023-05-31,104887.49428082275
2023-06-01,105110.26698590087
2023-06-02,105341.072894104
2023-06-05,105329.11275006103
2023-06-06,105349.7217588501
2023-06-07,105124.15202618408
2023-06-08,105323.06444073486
2023-06-09,105384.25032330322
2023-06-12,105667.42946148681
2023-06-13,105823.94359112548
2023-06-14,105919.74550152587
2023-06-15,106188.3160581665
2023-06-16,106078.3916807251
2023-06-20,106006.42164898681
2023-06-21,105794.193987854
2023-06-22,105967.10768414306
2023-06-23,105760.9399397583
2023-06-26,105717.9582197876
2023-06-27,105822.23192126465
2023-06-28,105822.23192126465
2023-06-29,105822.23192126465
2023-06-30,105822.23192126465
2023-07-03,105822.23192126465
2023-07-05,105811.9011751709
2023-07-06,105731.00444665528
2023-07-07,105694.90254553223
2023-07-10,105694.90254553223
2023-07-11,105694.90254553223
2023-07-12,105694.90254553223
2023-07-13,105694.90254553223
