dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,99895.89971750641
2024-02-02,100944.61160868073
2024-02-05,100729.33320444489
2024-02-06,100685.78870600129
2024-02-07,101678.90901010895
2024-02-08,101721.37974375153
2024-02-09,102538.44754618073
2024-02-12,102343.21285456086
2024-02-13,100807.79567545319
2024-02-14,101818.27917688752
2024-02-15,102394.0916677475
2024-02-16,101445.03051052094
2024-02-20,100501.64466152192
2024-02-21,100145.83092556
2024-02-22,102418.23786220551
2024-02-23,102197.92970647432
2024-02-26,101936.04814519502
2024-02-27,101884.33243169404
2024-02-28,101770.54039373017
2024-02-29,101769.79361333467
2024-03-01,102370.5693776932
2024-03-04,102227.58117273715
2024-03-05,100628.8912313309
2024-03-06,101306.19057825473
2024-03-07,102560.0805471268
2024-03-08,101528.23488703923
2024-03-11,101607.41822138982
2024-03-12,101918.15165797429
2024-03-13,102572.75163356023
2024-03-14,102124.6608437653
2024-03-15,101992.45474160771
2024-03-18,102508.0775290833
2024-03-19,103212.1993247376
2024-03-20,104009.54611123662
2024-03-21,104488.34144509892
2024-03-22,104034.46934486393
2024-03-25,104169.24562812809
2024-03-26,103952.5664823151
2024-03-27,105289.77820564274
2024-03-28,105804.39745307926
