symbol,entry_dt,exit_dt,entry_price,exit_price,qty,pnl,bars_held
VZ,2024-02-01,2024-02-08,37.898040771484375,35.596866607666016,264,-607.5099792480469,5
HD,2024-02-08,2024-02-15,348.62860107421875,346.09814453125,29,-73.38323974609375,5
MSFT,2024-02-01,2024-02-23,398.5927734375,405.81756591796875,25,180.61981201171875,15
PG,2024-02-01,2024-03-01,152.271240234375,151.95558166503906,66,-20.833465576171875,20
V,2024-02-01,2024-03-01,273.550048828125,280.1042175292969,37,242.50424194335938,20
MSFT,2024-03-01,2024-03-08,410.9206848144531,401.74298095703125,26,-238.62030029296875,5
TSLA,2024-03-01,2024-03-08,202.63999938964844,175.33999633789062,53,-1446.900161743164,5
JNJ,2024-03-08,2024-03-15,152.13111877441406,150.85316467285156,70,-89.456787109375,5
BRK-B,2024-02-01,2024-03-15,386.44000244140625,408.1300048828125,26,563.9400634765625,30
MA,2024-02-01,2024-03-15,456.369384765625,471.13214111328125,22,324.7806396484375,30
AMZN,2024-02-01,2024-03-22,159.27999877929688,178.8699951171875,64,1253.759765625,35
PG,2024-03-15,2024-03-22,154.3757781982422,154.64361572265625,70,18.748626708984375,5
PFE,2024-03-15,2024-03-22,25.36223602294922,24.83574676513672,426,-224.284423828125,5
MSFT,2024-03-15,2024-04-01,411.83056640625,419.8907470703125,25,201.5045166015625,10
HD,2024-02-23,2024-04-01,356.5267639160156,354.8695983886719,29,-48.05780029296875,25
META,2024-02-01,2024-04-01,392.3612060546875,488.8576354980469,25,2412.4107360839844,40
V,2024-03-22,2024-04-01,280.2031555175781,275.2768859863281,38,-187.1982421875,5
NFLX,2024-02-01,2024-04-01,567.510009765625,614.3099975585938,17,795.5997924804688,40
MA,2024-03-22,2024-04-01,476.91448974609375,473.6767578125,22,-71.2301025390625,5
KO,2024-04-01,2024-04-08,58.05664825439453,56.70761489868164,187,-252.26923751831055,5
NVDA,2024-02-01,2024-04-08,62.99541091918945,87.09341430664062,162,3903.87654876709,45
PG,2024-04-01,2024-04-08,153.61050415039062,149.26751708984375,70,-304.00909423828125,5
PFE,2024-04-01,2024-04-08,25.162532806396484,24.12770652770996,435,-450.1494312286377,5
JPM,2024-02-15,2024-04-15,173.09402465820312,177.02691650390625,60,235.9735107421875,40
BRK-B,2024-04-01,2024-04-15,420.20001220703125,400.260009765625,26,-518.4400634765625,10
MA,2024-04-08,2024-04-15,474.779052734375,455.8810729980469,22,-415.75555419921875,5
MSFT,2024-04-08,2024-04-22,419.9105224609375,396.5409851074219,25,-584.2384338378906,10
TSLA,2024-04-15,2024-04-22,161.47999572753906,142.0500030517578,62,-1204.6595458984375,5
META,2024-04-08,2024-04-22,516.6161499023438,479.28643798828125,20,-746.59423828125,10
NFLX,2024-04-08,2024-04-22,628.4099731445312,554.5999755859375,16,-1180.9599609375,10
NVDA,2024-04-15,2024-04-22,85.96192169189453,79.48187255859375,121,-784.0859451293945,5
JNJ,2024-04-22,2024-04-29,142.2128143310547,140.01937866210938,72,-157.9273681640625,5
BRK-B,2024-04-22,2024-04-29,408.7799987792969,400.9599914550781,25,-195.50018310546875,5
VZ,2024-04-01,2024-04-29,37.71074295043945,36.33646774291992,293,-402.66263580322266,20
JPM,2024-04-29,2024-05-06,187.0838165283203,185.8448486328125,53,-65.66529846191406,5
V,2024-04-29,2024-05-06,268.9064025878906,269.7274169921875,37,30.377532958984375,5
AMZN,2024-04-01,2024-05-13,180.97000122070312,186.57000732421875,60,336.0003662109375,30
TSLA,2024-05-06,2024-05-13,184.75999450683594,171.88999938964844,56,-720.7197265625,5
KO,2024-04-22,2024-05-20,57.932273864746094,59.86494445800781,178,344.01536560058594,20
UNH,2024-04-22,2024-05-20,477.07989501953125,502.3309326171875,21,530.2717895507812,20
BRK-B,2024-05-13,2024-05-20,411.2200012207031,413.0,25,44.499969482421875,5
AMZN,2024-05-20,2024-05-28,183.5399932861328,182.14999389648438,57,-79.22996520996094,5
PG,2024-04-22,2024-05-28,154.5638427734375,157.03819274902344,67,165.7814483642578,25
GOOG,2024-03-22,2024-05-28,150.7384796142578,176.81004333496094,74,1929.2957153320312,45
MSFT,2024-05-28,2024-06-04,426.3450012207031,412.22662353515625,24,-338.841064453125,5
UNH,2024-05-28,2024-06-04,489.1712341308594,490.9290771484375,21,36.914703369140625,5
TSLA,2024-05-20,2024-06-04,174.9499969482422,174.77000427246094,59,-10.61956787109375,10
BRK-B,2024-06-04,2024-06-11,409.5299987792969,408.5,25,-25.749969482421875,5
VZ,2024-06-04,2024-06-11,37.6688346862793,36.63556671142578,289,-298.614444732666,5
PFE,2024-05-06,2024-06-11,25.56193733215332,25.827646255493164,403,107.08069610595703,25
JPM,2024-05-13,2024-06-18,192.35911560058594,190.6845703125,54,-90.42544555664062,25
BAC,2024-03-08,2024-06-26,34.34727478027344,37.85649871826172,312,1094.8778686523438,75
KO,2024-06-11,2024-07-03,60.802574157714844,61.06224822998047,179,46.481658935546875,15
HD,2024-06-18,2024-07-03,343.5880126953125,323.9458312988281,33,-648.1919860839844,10
VZ,2024-06-26,2024-07-03,37.17938995361328,37.27002716064453,298,27.0098876953125,5
AMZN,2024-07-03,2024-07-18,197.58999633789062,183.75,57,-788.8797912597656,10
MSFT,2024-06-11,2024-07-18,428.6831970214844,436.3021545410156,25,190.47393798828125,25
META,2024-05-28,2024-07-18,477.4856872558594,473.9063415527344,22,-78.74560546875,35
NFLX,2024-05-20,2024-07-18,640.8200073242188,643.0399780273438,17,37.739501953125,40
GOOG,2024-06-04,2024-07-18,173.93968200683594,178.20443725585938,61,260.1500701904297,30
NVDA,2024-04-29,2024-07-18,87.71713256835938,121.04492950439453,114,3799.368850708008,55
VZ,2024-07-18,2024-07-25,38.755104064941406,36.80215072631836,305,-595.6507682800293,5
BAC,2024-07-03,2024-08-01,39.7007942199707,38.34183883666992,287,-390.0201950073242,20
JPM,2024-07-03,2024-08-08,201.9998016357422,198.61270141601562,56,-189.6776123046875,25
TSLA,2024-06-11,2024-08-08,170.66000366210938,198.83999633789062,62,1747.1595458984375,40
AAPL,2024-04-15,2024-08-08,171.45872497558594,212.07635498046875,61,2477.6754302978516,80
HD,2024-07-18,2024-08-15,355.4432373046875,349.6078796386719,32,-186.7314453125,20
VZ,2024-08-08,2024-08-15,37.327239990234375,36.88505554199219,290,-128.23348999023438,5
V,2024-08-08,2024-08-15,257.5016784667969,264.9394226074219,42,312.38525390625,5
UNH,2024-07-18,2024-08-22,550.4090576171875,564.43408203125,21,294.5255126953125,25
BRK-B,2024-07-18,2024-08-22,441.82000732421875,449.0299987792969,26,187.45977783203125,25
PFE,2024-07-18,2024-08-22,27.375646591186523,26.892974853515625,427,-206.10083198547363,25
JNJ,2024-07-18,2024-08-22,149.4191436767578,156.08160400390625,78,519.6719055175781,25
PG,2024-08-08,2024-08-22,165.4987335205078,164.80136108398438,65,-45.32920837402344,10
HD,2024-08-22,2024-08-29,354.744140625,358.5594787597656,30,114.46014404296875,5
TSLA,2024-08-22,2024-08-29,210.66000366210938,206.27999877929688,49,-214.6202392578125,5
V,2024-08-22,2024-08-29,266.07147216796875,272.4070129394531,41,259.7571716308594,5
AAPL,2024-08-22,2024-08-29,223.48985290527344,228.7255096435547,49,256.54718017578125,5
MA,2024-08-01,2024-08-29,459.15789794921875,477.4185485839844,24,438.255615234375,20
UNH,2024-08-29,2024-09-06,576.9669189453125,582.145751953125,19,98.3978271484375,5
KO,2024-07-25,2024-09-06,63.704124450683594,68.59257507324219,177,865.2557601928711,30
META,2024-08-15,2024-09-06,535.13525390625,498.2265625,20,-738.173828125,15
VZ,2024-08-22,2024-09-06,37.649654388427734,37.9075927734375,293,75.57594680786133,10
JNJ,2024-08-29,2024-09-06,159.08738708496094,159.23269653320312,70,10.171661376953125,5
PG,2024-08-29,2024-09-06,164.68515014648438,170.0703582763672,68,366.19415283203125,5
JPM,2024-08-29,2024-09-13,216.2781982421875,198.8657684326172,52,-905.4463500976562,10
BAC,2024-09-06,2024-09-13,37.86882400512695,37.7613525390625,284,-30.521896362304688,5
NVDA,2024-08-15,2024-09-13,122.81427001953125,119.06585693359375,91,-341.1055908203125,20
NFLX,2024-08-15,2024-09-20,663.219970703125,701.030029296875,16,604.9609375,25
JNJ,2024-09-13,2024-09-20,160.33700561523438,159.0195770263672,70,-92.22000122070312,5
KO,2024-09-13,2024-09-20,69.324951171875,69.5482177734375,163,36.3924560546875,5
BAC,2024-09-20,2024-09-27,39.3441047668457,38.494110107421875,283,-240.54848861694336,5
BRK-B,2024-08-29,2024-09-27,468.3699951171875,457.4700012207031,24,-261.599853515625,20
PG,2024-09-27,2024-10-04,168.09449768066406,163.57130432128906,68,-307.5771484375,5
V,2024-09-06,2024-10-04,277.4217834472656,275.99176025390625,40,-57.200927734375,20
AMZN,2024-09-06,2024-10-11,171.38999938964844,188.82000732421875,62,1080.6604919433594,25
MSFT,2024-09-20,2024-10-11,432.02655029296875,413.2177429199219,25,-470.2201843261719,15
MA,2024-09-06,2024-10-11,472.7714538574219,499.3907470703125,23,612.2437438964844,25
VZ,2024-09-13,2024-10-11,40.92914962768555,40.23019027709961,277,-193.6117401123047,20
NFLX,2024-09-27,2024-10-18,707.3499755859375,763.8900146484375,16,904.640625,15
GOOG,2024-10-04,2024-10-18,167.8254852294922,164.33078002929688,68,-237.63995361328125,10
UNH,2024-10-11,2024-10-18,585.3551635742188,557.5188598632812,19,-528.8897705078125,5
TSLA,2024-09-06,2024-10-18,210.72999572753906,220.6999969482422,48,478.56005859375,30
VZ,2024-10-18,2024-10-25,41.15642547607422,38.714542388916016,277,-676.4016151428223,5
