dt,equity
2024-09-30,100687.05621956881
2024-10-01,99935.94888318641
2024-10-02,99517.09300418216
2024-10-03,99335.91128476386
2024-10-04,100074.75499318221
2024-10-07,99437.42462057738
2024-10-08,100405.00741608957
2024-10-09,100583.92023757331
2024-10-10,100406.46323012808
2024-10-11,101366.02165920654
2024-10-14,101924.07360859212
2024-10-15,100742.32962856474
2024-10-16,101648.87095630098
2024-10-17,101472.59251219958
2024-10-18,101803.22607225744
2024-10-21,101573.09413439459
2024-10-22,101459.99315785253
2024-10-23,100527.2826699257
2024-10-24,100627.2480711431
2024-10-25,100294.23282758254
2024-10-28,100511.87526826195
2024-10-29,100551.48056180279
2024-10-30,100871.43008025945
2024-10-31,98481.32724538227
2024-11-01,99203.00996308659
2024-11-04,98742.7437083004
2024-11-05,99531.92877384978
2024-11-06,102784.01927935069
2024-11-07,103660.41861003466
2024-11-08,104522.97077505819
2024-11-11,106402.88879952524
2024-11-12,106082.82125699442
2024-11-13,105923.0177267053
2024-11-14,104443.66297208583
2024-11-15,103423.50822675583
2024-11-18,104780.6867572092
2024-11-19,105375.14342188921
2024-11-20,105192.3703037226
2024-11-21,106008.06996049786
2024-11-22,107337.41403414393
2024-11-25,107774.90454156828
2024-11-26,108444.11897623717
2024-11-27,108377.57007428774
2024-11-29,109332.66732694124
2024-12-02,109282.57172418958
2024-12-03,108895.83509238048
2024-12-04,108299.8567267014
2024-12-05,108337.72927854369
2024-12-06,108818.92125996633
2024-12-09,108280.28289696596
2024-12-10,108475.27865549792
2024-12-11,110618.64660295557
2024-12-12,110261.7789415839
2024-12-13,110097.69286471611
2024-12-16,111688.64130815818
2024-12-17,112629.36214655945
2024-12-18,108737.01498419179
2024-12-19,108643.80220441516
2024-12-20,108967.94944245469
2024-12-23,109579.9925917206
2024-12-24,110822.77614026237
