symbol,entry_dt,exit_dt,entry_price,exit_price,qty,pnl,bars_held
AAPL,2024-02-01,2024-02-08,185.29127502441406,186.73902893066406,54,78.1787109375,5
GOOG,2024-02-01,2024-02-09,141.74005126953125,149.1990203857422,71,529.5868072509766,6
VZ,2024-02-01,2024-02-14,37.898040771484375,35.810935974121094,264,-550.9956665039062,9
KO,2024-02-07,2024-02-16,56.941036224365234,56.371524810791016,180,-102.51205444335938,7
MSFT,2024-02-01,2024-02-26,398.5927734375,403.0484619140625,25,111.3922119140625,16
UNH,2024-02-13,2024-03-04,499.9908752441406,466.15185546875,20,-676.7803955078125,13
PFE,2024-02-20,2024-03-04,25.044523239135742,23.50136947631836,423,-652.7540416717529,9
MSFT,2024-03-05,2024-03-08,398.2123107910156,401.7429504394531,26,91.796630859375,3
TSLA,2024-02-22,2024-03-08,197.41000366210938,175.33999633789062,53,-1169.7103881835938,11
KO,2024-02-22,2024-03-08,58.04206848144531,56.49491882324219,179,-276.9397888183594,11
BRK-B,2024-02-01,2024-03-12,386.44000244140625,404.9800109863281,26,482.04022216796875,27
JNJ,2024-02-26,2024-03-19,153.34225463867188,148.97442626953125,70,-305.74798583984375,16
V,2024-02-01,2024-04-03,273.550048828125,273.97113037109375,37,15.58001708984375,42
UNH,2024-03-26,2024-04-04,478.1287536621094,442.2626037597656,23,-824.9214477539062,6
PG,2024-02-01,2024-04-04,152.27122497558594,148.70314025878906,66,-235.49359130859375,43
PFE,2024-03-15,2024-04-04,25.362234115600586,24.19124984741211,430,-503.5232353210449,13
HD,2024-02-01,2024-04-05,345.1300964355469,345.0729675292969,29,-1.65673828125,44
MA,2024-02-01,2024-04-08,456.3693542480469,474.7790222167969,22,405.0126953125,45
NVDA,2024-02-01,2024-04-09,62.99541473388672,85.3152084350586,162,3615.8065795898438,46
KO,2024-03-20,2024-04-09,58.12363052368164,57.13815689086914,189,-186.2545166015625,13
TSLA,2024-04-05,2024-04-11,164.89999389648438,174.60000610351562,64,620.80078125,4
MSFT,2024-03-13,2024-04-16,410.5251159667969,410.0108337402344,26,-13.371337890625,23
BRK-B,2024-03-22,2024-04-16,411.6000061035156,396.9200134277344,26,-381.6798095703125,16
BAC,2024-02-01,2024-04-16,32.14299774169922,33.459651947021484,306,402.8961868286133,51
JPM,2024-02-01,2024-04-16,167.18533325195312,175.00389099121094,59,461.29490661621094,51
VZ,2024-03-25,2024-04-18,36.453121185302734,36.372718811035156,311,-25.005138397216797,17
NFLX,2024-02-01,2024-04-19,567.510009765625,555.0399780273438,17,-211.99053955078125,54
