dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100072.81155395508
2024-01-08,100760.64496231079
2024-01-09,100688.91050720215
2024-01-10,101637.1686706543
2024-01-11,101295.52558135986
2024-01-12,101893.14300918579
2024-01-16,101602.9660949707
2024-01-17,101116.64995574951
2024-01-18,102736.06342315674
2024-01-19,104458.51693725586
2024-01-22,104504.35367202759
2024-01-23,105917.17072677612
2024-01-24,107569.78379440308
2024-01-25,109328.47320175171
2024-01-26,109456.51066207886
2024-01-29,110659.5368385315
2024-01-30,110947.4003868103
2024-01-31,107550.30912017822
2024-02-01,109230.96635818481
2024-02-02,113155.63924789429
2024-02-05,112408.88510131836
2024-02-06,112107.92677688599
2024-02-07,113445.57555770874
2024-02-08,112990.47764587402
2024-02-09,113820.18908309937
2024-02-12,113470.3643989563
2024-02-13,111780.09135818481
2024-02-14,113533.52732467651
2024-02-15,115363.25551223755
2024-02-16,115018.02548599243
2024-02-20,113218.77177810669
2024-02-21,113093.33041763306
2024-02-22,114152.67877578735
2024-02-23,114385.64304351807
2024-02-26,113893.64024734497
2024-02-27,113901.39798355103
2024-02-28,114134.14406967163
2024-02-29,114395.37865447998
2024-03-01,114921.35413360596
2024-03-04,114538.71855163574
2024-03-05,113608.41758728027
2024-03-06,113733.76795959473
2024-03-07,114407.14721679688
2024-03-08,113617.46783447266
2024-03-11,113508.70837402344
2024-03-12,114476.94693565369
2024-03-13,114479.39598846436
2024-03-14,113412.8283958435
2024-03-15,112900.45339012146
2024-03-18,113926.55303382874
2024-03-19,114174.68874931335
2024-03-20,115378.17176818848
2024-03-21,115518.14447021484
2024-03-22,114689.78874397278
2024-03-25,113826.40422821045
2024-03-26,114457.84899711609
2024-03-27,116254.48854064941
2024-03-28,116076.92903137207
2024-04-01,115341.60668754578
2024-04-02,113625.74244689941
2024-04-03,113656.66153144836
2024-04-04,112074.63148880005
2024-04-05,112674.48768615723
2024-04-08,113074.58026885986
2024-04-09,113610.04804992676
2024-04-10,113003.41567611694
2024-04-11,114054.91967391968
2024-04-12,113070.19749069214
2024-04-15,111422.77793502808
2024-04-16,110664.92835617065
2024-04-17,110381.94623947144
2024-04-18,110484.2639427185
2024-04-19,110747.21488571167
2024-04-22,110836.66326522827
2024-04-23,110889.76671981812
2024-04-24,111159.98574066162
2024-04-25,110966.47750854492
2024-04-26,110760.65000724792
2024-04-29,112673.12116622925
2024-04-30,110902.49543190002
2024-05-01,112306.1547794342
2024-05-02,113483.63470077515
2024-05-03,114926.71482467651
2024-05-06,116304.9041633606
2024-05-07,115700.05422592163
2024-05-08,116028.21898651123
2024-05-09,116898.72515487671
2024-05-10,117192.95902633667
2024-05-13,117804.98909759521
2024-05-14,118654.39780807495
2024-05-15,121414.28316497803
2024-05-16,121412.57028198242
2024-05-17,121541.67096328735
2024-05-20,120820.87384033203
2024-05-21,122646.79358673096
2024-05-22,122663.1459197998
2024-05-23,121202.3143119812
2024-05-24,123141.18952178955
2024-05-28,123663.39672088623
2024-05-29,123184.43168640137
2024-05-30,121877.44689559937
2024-05-31,121544.88094711304
2024-06-03,123000.7702293396
2024-06-04,123492.43385696411
2024-06-05,125859.35247421265
2024-06-06,125514.31804275513
2024-06-07,125313.59184455872
2024-06-10,125119.01085281372
2024-06-11,126544.17453575134
2024-06-12,127527.51140213013
2024-06-13,128808.44005584717
2024-06-14,129108.00392150879
2024-06-17,129691.34233474731
2024-06-18,130826.03565216064
2024-06-20,129093.79325294495
2024-06-21,128164.06984901428
2024-06-24,125886.92462158203
2024-06-25,127635.03458213806
2024-06-26,129148.0882434845
2024-06-27,129403.32626533508
2024-06-28,128548.39295387268
2024-07-01,130107.0551662445
2024-07-02,132335.94332885742
2024-07-03,133084.40003585815
2024-07-05,134135.91320610046
2024-07-08,134359.0800743103
2024-07-09,135595.73253631592
