symbol,entry_dt,exit_dt,entry_price,exit_price,qty,pnl,bars_held
KO,2024-01-04,2024-01-08,56.722721099853516,57.054927825927734,175,58.13617706298828,2
UNH,2024-01-04,2024-01-09,527.6289672851562,520.8088989257812,19,-129.581298828125,3
BAC,2024-01-08,2024-01-11,32.727413177490234,31.759769439697266,303,-293.19605255126953,3
JPM,2024-01-08,2024-01-12,165.539794921875,162.681640625,60,-171.4892578125,4
VZ,2024-01-04,2024-01-16,34.53289031982422,35.04387283325195,291,148.6959114074707,7
BRK-B,2024-01-04,2024-01-17,363.67999267578125,359.2900085449219,27,-118.52957153320312,8
AAPL,2024-01-11,2024-01-18,184.0319366455078,187.04640197753906,54,162.7811279296875,4
PG,2024-01-10,2024-01-23,142.53216552734375,147.2969512939453,70,333.5350036621094,8
KO,2024-01-09,2024-01-23,56.95051956176758,56.808143615722656,175,-24.915790557861328,9
JNJ,2024-01-04,2024-01-24,152.03533935546875,150.4547119140625,65,-102.74078369140625,13
HD,2024-01-10,2024-01-25,341.99578857421875,336.40765380859375,30,-167.64404296875,10
AAPL,2024-01-19,2024-02-01,189.95181274414062,185.29127502441406,54,-251.66903686523438,9
GOOG,2024-01-10,2024-02-02,142.82264709472656,142.5643768310547,71,-18.337188720703125,16
HD,2024-02-02,2024-02-06,342.4079284667969,341.4685974121094,31,-29.1192626953125,2
VZ,2024-01-17,2024-02-07,34.66926193237305,36.05175018310547,290,400.92159271240234,15
BAC,2024-01-26,2024-02-12,32.02802276611328,32.21005630493164,336,61.16326904296875,11
KO,2024-02-02,2024-02-12,57.463077545166016,56.665767669677734,185,-147.50232696533203,6
NFLX,2024-01-04,2024-02-12,474.6700134277344,557.8499755859375,21,1746.7792053222656,26
V,2024-01-05,2024-02-13,256.40936279296875,272.8335266113281,39,640.5423889160156,26
MSFT,2024-01-09,2024-02-14,370.96234130859375,404.9769592285156,27,918.3946838378906,25
PG,2024-01-24,2024-02-14,145.51766967773438,148.87533569335938,70,235.03662109375,15
HD,2024-02-08,2024-02-15,348.628662109375,346.0981750488281,32,-80.9755859375,5
AMZN,2024-01-11,2024-02-21,155.17999267578125,168.58999633789062,65,871.6502380371094,27
NVDA,2024-01-08,2024-02-21,52.226810455322266,67.43819427490234,203,3087.910915374756,30
MA,2024-01-10,2024-02-21,424.041748046875,454.51776123046875,24,731.42431640625,28
NFLX,2024-02-16,2024-02-21,583.9500122070312,573.3499755859375,19,-201.40069580078125,2
META,2024-01-08,2024-02-22,356.4625244140625,483.6641845703125,28,3561.646484375,31
PG,2024-02-26,2024-02-28,153.26612854003906,153.10350036621094,74,-12.03448486328125,2
UNH,2024-02-07,2024-02-29,502.4480895996094,477.4992370605469,22,-548.874755859375,15
BRK-B,2024-01-23,2024-03-01,372.1400146484375,407.1099853515625,28,979.1591796875,27
PFE,2024-02-08,2024-03-01,25.026371002197266,24.13678741455078,448,-398.533447265625,15
KO,2024-02-21,2024-03-04,58.12750244140625,56.77017593383789,199,-270.1079750061035,8
V,2024-02-26,2024-03-05,281.08349609375,276.3650207519531,40,-188.739013671875,6
MA,2024-02-26,2024-03-05,469.8251953125,462.9041748046875,24,-166.1044921875,6
AMZN,2024-03-04,2024-03-06,177.5800018310547,173.50999450683594,64,-260.48046875,2
NFLX,2024-03-04,2024-03-06,615.8300170898438,597.6900024414062,18,-326.520263671875,2
TSLA,2024-02-09,2024-03-07,193.57000732421875,178.64999389648438,59,-880.2807922363281,18
JNJ,2024-02-20,2024-03-08,150.54798889160156,152.13111877441406,77,121.9010009765625,13
HD,2024-02-22,2024-03-12,355.9324951171875,361.1468505859375,32,166.859375,13
JNJ,2024-03-12,2024-03-15,155.2019500732422,150.85316467285156,73,-317.4613342285156,3
NVDA,2024-02-26,2024-03-18,79.0523681640625,88.4148178100586,144,1348.1927490234375,15
JPM,2024-01-26,2024-03-18,165.7899627685547,185.40223693847656,64,1255.185546875,35
V,2024-03-20,2024-03-26,286.1581726074219,277.5718688964844,40,-343.4521484375,4
MA,2024-03-21,2024-03-26,483.8157043457031,472.0925598144531,23,-269.63232421875,3
