dt,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,103392.81520080566
2024-02-05,102931.56137084961
2024-02-06,102635.68659973145
2024-02-07,103745.32385253906
2024-02-08,103278.16578674316
2024-02-09,104081.37693786621
2024-02-12,103790.8041229248
2024-02-13,102757.20930480957
2024-02-14,104284.91453552246
2024-02-15,104991.35763549805
2024-02-16,104367.8395690918
2024-02-20,103132.24841308594
2024-02-21,103242.27618408203
2024-02-22,107176.21612548828
2024-02-23,107250.91679382324
2024-02-26,107027.64814758301
2024-02-27,107279.15840148926
2024-02-28,107344.5339050293
2024-02-29,107911.55233764648
2024-03-01,109156.4605255127
2024-03-04,108341.95881652832
2024-03-05,107002.90719604492
2024-03-06,107565.98657226562
2024-03-07,109048.03120422363
2024-03-08,107640.98767089844
2024-03-11,106711.71406555176
2024-03-12,108882.15879821777
2024-03-13,108940.9662322998
2024-03-14,108075.31993103027
2024-03-15,107348.72966003418
2024-03-18,108191.43865203857
2024-03-19,108845.38640594482
2024-03-20,110131.51446914673
2024-03-21,111041.00626754761
2024-03-22,111122.68179321289
2024-03-25,110324.5336303711
2024-03-26,109807.9896850586
2024-03-27,109696.30517578125
2024-03-28,109503.30574035645
2024-04-01,109439.98992919922
2024-04-02,109030.57688331604
2024-04-03,108730.50088882446
2024-04-04,106924.71531486511
2024-04-05,107962.78232574463
2024-04-08,107917.83794403076
2024-04-09,107678.32345581055
2024-04-10,106931.61128616333
2024-04-11,107446.58443069458
2024-04-12,105488.92934036255
2024-04-15,104398.41287994385
2024-04-16,103762.98476791382
2024-04-17,103037.92489624023
2024-04-18,102803.57270431519
2024-04-19,100102.33401870728
2024-04-22,100342.84167098999
2024-04-23,101178.67649841309
2024-04-24,101254.28340911865
2024-04-25,100724.64585876465
2024-04-26,102133.00231552124
2024-04-29,102031.07593917847
2024-04-30,100672.35894393921
2024-05-01,100524.74573898315
2024-05-02,101821.16334152222
2024-05-03,103059.65424728394
2024-05-06,103982.09330368042
2024-05-07,103856.8867931366
2024-05-08,103693.2212600708
2024-05-09,104020.91800308228
2024-05-10,103883.65002632141
2024-05-13,104377.55216598511
2024-05-14,104769.66400527954
2024-05-15,105937.4492111206
2024-05-16,106381.34199905396
2024-05-17,106444.45266151428
2024-05-20,105850.82298278809
2024-05-21,107444.26607513428
2024-05-22,106958.25408363342
2024-05-23,106192.88189125061
2024-05-24,107692.10406112671
2024-05-28,108098.71015930176
2024-05-29,107317.45174789429
2024-05-30,106530.73355293274
2024-05-31,107384.23000717163
2024-06-03,108268.19951629639
2024-06-04,108406.2549610138
2024-06-05,109972.8277683258
2024-06-06,109394.00691986084
2024-06-07,109382.82639884949
2024-06-10,109120.81148910522
2024-06-11,109552.91169166565
2024-06-12,111062.10278511047
2024-06-13,111834.00023841858
2024-06-14,112127.70753288269
2024-06-17,113352.18245887756
2024-06-18,113644.00348472595
2024-06-20,112518.11651039124
2024-06-21,112245.4728679657
2024-06-24,111283.80303764343
2024-06-25,112612.16368675232
2024-06-26,113655.74831581116
2024-06-27,113770.61910820007
2024-06-28,112841.77651023865
2024-07-01,114151.80362510681
2024-07-02,115670.78532600403
2024-07-03,117463.73524284363
2024-07-05,118884.0335445404
2024-07-08,118932.68763160706
2024-07-09,120135.73237419128
2024-07-10,121246.59803962708
2024-07-11,116898.36264228821
2024-07-12,117053.95702171326
2024-07-15,117918.26758003235
